GroundTruth     1attempt        2attempt        3attempt        4attempt        5attempt        6attempt        7attempt         
0               0               p               o               ;               9               -               l                
1               1               q               2               a               w               3               e                
1               1               q               2               a               w               3               Key.shift        
Key.enter       Key.enter       '               Key.shift_r     Key.backspace   =               /               ;                
1               1               q               2               a               w               3               Key.shift        
7               7               8               u               6               y               i               9                
2               2               q               1               3               w               a               e                
2               2               q               1               w               3               a               e                
Key.space       n               Key.space       m               b               j               h               ,                
Key.shift       Key.shift       a               z               q               x               w               s                
S               s               z               x               w               a               d               e                
c               c               x               v               d               f               s               z                
e               e               s               w               d               3               4               r                
n               n               Key.space       h               b               m               j               g                
i               i               k               u               j               o               8               l                
c               c               v               f               x               d               b               g                
Key.space       /               .               Key.shift_r     ,               '               Key.enter       ;                
Key.shift       Key.shift       a               z               q               x               w               s                
W               3               e               w               2               4               s               d                
a               a               q               w               z               2               Key.shift       s                
y               y               t               6               h               g               7               u                
,               ,               .               m               l               k               /               j                
Key.space       v               b               Key.space       n               g               h               c                
Key.shift       5               t               r               4               6               f               y                
S               s               z               x               d               w               a               e                
p               ;               p               '               l               o               0               -                
r               r               f               t               5               4               d               g                
i               i               k               u               o               j               8               9                
n               n               h               Key.space       j               m               b               k                
g               g               h               b               t               y               v               f                
d               e               4               r               d               3               s               w                
Key.backspace   Key.backspace   =               Key.enter       -               '               Key.shift_r     p                
f               f               r               g               c               t               d               v                
i               k               i               j               l               m               o               ,                
e               e               3               4               d               w               s               r                
l               l               o               ;               k               p               i               .                
f               r               f               d               e               c               t               4                
Key.backspace   Key.backspace   =               -               Key.enter       '               p               Key.shift_r      
d               d               s               x               c               e               z               w                
,               ,               .               m               k               l               /               j                
Key.space       m               ,               n               k               Key.space       j               .                
Key.shift       Key.shift       a               z               q               w               s               x                
I               i               j               u               k               8               o               l                
L               l               k               o               ;               .               ,               i                
Key.space       x               c               z               d               s               e               f                
6               6               y               7               t               5               u               h                
2               2               3               1               q               w               e               a                
7               7               8               u               i               9               y               6                
0               0               p               -               9               o               ;               =                
4               4               3               e               r               5               d               f                
Key.enter       Key.enter       Key.shift_r     '               /               ;               p               .                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
Key.enter       Key.enter       '               Key.shift_r     Key.backspace   =               p               ;                
4               4               3               5               r               e               d               f                
1               1               q               2               a               w               3               e                
.               .               ,               /               l               ;               k               m                
4               4               r               3               e               5               d               f                
0               0               p               9               o               -               ;               l                
3               3               e               4               w               2               s               d                
3               3               e               4               w               2               s               d                
8               8               7               u               i               9               j               y                
,               ,               m               .               k               l               j               n                
Key.space       Key.shift_r     Key.enter       /               '               Key.backspace   .               ;                
2               2               q               w               1               a               3               e                
.               .               /               l               ,               ;               '               k                
1               1               q               2               a               w               3               e                
7               7               8               u               i               y               6               9                
4               4               r               5               3               e               f               d                
0               0               p               -               ;               =               o               9                
3               3               2               w               e               4               q               s                
Key.enter       Key.enter       Key.shift_r     '               /               ;               p               =                
4               4               5               3               r               e               f               t                
0               0               -               p               9               =               o               ;                
.               .               /               l               ,               ;               '               k                
6               6               y               7               t               5               u               h                
8               8               7               u               i               9               j               y                
9               9               o               0               8               i               p               u                
3               3               e               w               2               4               s               d                
Key.backspace   Key.backspace   =               -               Key.enter       '               p               0                
2               2               3               w               q               1               e               a                
6               6               y               5               t               7               g               u                
3               3               e               2               w               4               s               d                
,               ,               m               k               .               l               j               n                
Key.space       v               b               c               Key.space       g               f               n                
-               -               =               p               0               ;               '               o                
6               6               y               7               t               5               u               8                
5               5               t               6               r               4               y               f                
.               .               /               l               ,               ;               '               k                
8               8               9               i               u               7               o               k                
5               5               t               6               r               4               y               g                
8               8               7               u               9               i               6               y                
4               4               3               5               r               e               f               d                
8               8               7               u               9               i               o               j                
8               8               7               u               i               9               j               y                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
7               7               8               u               6               i               y               9                
8               8               7               9               u               i               o               j                
.               .               /               ,               l               ;               k               '                
8               8               7               u               i               9               j               o                
5               5               t               6               r               4               y               g                
8               8               9               7               u               i               o               0                
0               0               p               -               9               o               ;               =                
1               1               q               2               a               w               3               Key.shift        
4               4               3               r               e               5               d               f                
,               ,               m               k               .               l               j               n                
Key.space       Key.space       n               b               h               m               v               g                
-               -               =               0               p               ;               '               Key.backspace    
1               1               q               2               a               w               3               e                
7               7               u               6               8               y               i               j                
8               8               7               u               9               i               o               j                
.               .               /               ,               l               ;               '               k                
9               9               8               0               o               i               7               u                
7               7               8               u               i               6               9               y                
2               2               q               1               w               3               a               e                
Key.backspace   Key.backspace   =               Key.enter       -               '               Key.shift_r     p                
3               3               e               w               4               2               s               d                
3               3               e               4               w               2               s               d                
2               2               w               3               q               e               1               a                
9               9               0               o               8               i               p               l                
Key.enter       Key.enter       Key.shift_r     '               /               ;               .               p                
-               -               =               0               p               ;               '               Key.backspace    
6               6               y               t               5               7               u               h                
6               6               y               5               7               t               u               h                
.               .               /               l               ;               ,               '               k                
1               1               q               2               a               w               3               e                
8               8               9               7               i               u               o               0                
5               5               4               r               t               6               f               y                
6               6               y               7               5               t               u               8                
8               8               9               7               i               u               o               0                
0               0               p               -               o               9               ;               =                
,               ,               m               k               l               .               j               i                
Key.space       v               b               Key.space       n               g               h               c                
-               -               =               p               0               ;               '               o                
4               4               3               e               r               5               d               f                
.               .               /               l               ,               ;               '               k                
2               2               q               1               w               3               a               e                
4               4               3               e               r               5               d               w                
6               6               y               t               5               7               u               h                
7               7               8               u               y               6               i               j                
6               6               y               7               t               5               u               h                
6               6               y               5               7               t               u               h                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               p               ;                
4               4               5               r               3               e               f               t                
8               7               8               u               i               y               9               j                
.               .               l               ,               /               ;               k               o                
4               4               3               e               5               r               d               f                
0               0               9               p               -               o               ;               =                
0               0               p               9               -               o               ;               =                
6               6               y               5               t               7               u               g                
9               9               0               8               o               i               p               u                
2               2               3               q               w               1               e               a                
,               ,               m               k               .               l               j               n                
Key.space       Key.space       n               b               h               v               g               m                
-               -               =               0               p               ;               9               '                
3               3               e               w               2               4               s               d                
3               3               e               4               w               2               s               d                
.               .               /               l               ;               ,               '               p                
9               9               8               0               o               i               u               7                
2               2               q               w               1               3               a               e                
2               q               2               1               w               a               3               e                
1               1               q               2               a               w               3               Key.shift        
4               4               3               r               5               e               d               f                
1               1               q               2               a               w               3               Key.shift        
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
-               -               =               0               p               ;               '               Key.backspace    
7               7               u               8               i               y               6               j                
4               4               3               5               r               e               d               f                
.               .               /               l               ,               ;               k               o                
5               5               4               r               t               6               f               y                
0               0               9               p               -               o               ;               8                
6               6               y               5               t               7               u               g                
5               5               4               t               r               6               y               f                
4               4               r               5               3               e               f               d                
1               1               q               2               a               w               3               Key.shift        
.               .               ,               /               l               ;               k               m                
Key.space       Key.shift_r     Key.enter       /               '               Key.backspace   .               ;                
-               -               =               p               0               '               ;               Key.backspace    
9               9               0               8               o               i               p               -                
.               .               /               ,               l               ;               k               '                
0               0               9               p               -               o               ;               8                
9               9               8               0               o               i               u               7                
7               7               8               6               u               y               i               9                
3               3               e               4               w               2               s               d                
2               2               3               w               q               1               e               a                
2               2               3               w               q               e               1               4                
Key.enter       Key.shift_r     Key.enter       '               /               ;               .               p                
-               -               =               p               0               '               ;               Key.backspace    
2               2               1               q               3               w               a               e                
1               1               q               2               a               w               3               Key.shift        
.               .               /               l               ;               ,               '               o                
6               6               5               y               t               7               g               u                
0               0               9               p               o               -               ;               i                
2               2               q               w               3               1               a               e                
6               6               y               7               t               5               u               h                
6               6               y               5               t               7               u               g                
2               2               w               q               3               1               a               e                
,               ,               m               k               .               l               j               i                
Key.space       Key.space       n               b               m               v               h               g                
1               1               q               2               a               w               3               e                
,               ,               m               .               k               l               j               o                
Key.backspace   Key.backspace   =               -               Key.enter       '               p               Key.shift_r      
/               /               .               l               ;               '               ,               Key.shift_r      
Key.backspace   =               Key.backspace   -               '               Key.enter       p               0                
.               .               ,               l               /               ;               k               m                
6               6               y               5               t               7               u               h                
1               1               q               2               w               a               3               e                
5               5               t               6               r               4               y               f                
0               0               p               o               9               -               ;               l                
7               7               8               u               6               y               i               j                
2               2               q               1               w               a               3               e                
Key.enter       Key.enter       Key.shift_r     '               /               =               ;               Key.backspace    
6               6               y               t               5               7               u               g                
4               4               5               3               r               e               f               t                
.               .               /               ,               l               ;               k               '                
1               1               q               2               a               w               3               e                
1               1               q               2               a               w               3               e                
0               0               9               p               -               o               ;               =                
4               4               3               r               5               e               d               f                
4               4               3               e               r               5               d               f                
7               7               8               u               6               y               i               j                
,               ,               m               .               k               l               j               /                
Key.space       Key.space       n               b               v               h               m               g                
-               -               =               p               0               Key.backspace   '               ;                
3               3               e               4               2               w               s               d                
4               4               5               r               3               e               t               f                
.               .               /               ,               l               ;               k               '                
4               4               5               3               r               e               f               t                
4               4               3               e               r               5               d               w                
8               8               7               u               i               9               y               6                
4               4               3               e               r               5               d               f                
1               1               q               2               a               w               3               Key.shift        
7               8               7               u               i               9               y               6                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
1               1               q               2               a               w               3               Key.shift        
4               4               3               5               r               e               f               d                
.               .               l               ;               /               ,               o               k                
5               5               t               6               r               4               y               f                
8               9               8               i               o               u               7               0                
9               9               0               o               p               8               i               -                
2               2               w               3               q               1               e               a                
1               1               q               2               a               w               3               Key.shift        
0               0               p               -               9               o               ;               =                
.               .               /               l               ;               ,               '               k                
Key.backspace   Key.backspace   =               Key.enter       -               '               Key.shift_r     p                
,               ,               m               k               .               l               j               n                
Key.space       Key.space       n               b               m               h               j               v                
6               6               y               7               5               t               u               8                
6               6               5               y               t               7               u               g                
.               .               /               l               ,               ;               '               k                
4               4               3               e               r               5               d               w                
9               9               8               i               o               0               u               7                
4               4               3               e               r               5               d               w                
0               0               9               p               o               -               ;               8                
1               1               q               2               a               w               3               e                
8               8               9               i               u               7               o               0                
Key.enter       Key.shift_r     Key.enter       /               '               .               ;               p                
Key.enter       Key.shift_r     Key.enter       /               '               .               ;               Key.backspace    
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
Key.shift       Key.shift       a               q               1               z               2               w                
S               w               s               e               d               a               z               x                
p               p               ;               0               -               '               =               o                
a               a               q               w               2               Key.shift       1               z                
c               c               x               d               v               f               s               z                
e               e               d               s               w               r               3               x                
Key.shift       Key.shift       a               z               q               x               w               s                
X               x               z               c               s               d               e               w                
'               '               Key.enter       ;               p               Key.shift_r     /               =                
s               s               d               x               z               w               e               c                
Key.space       Key.space       b               v               n               h               g               m                
Key.shift       /               .               ,               Key.shift_r     l               '               ;                
f               f               r               g               t               d               c               v                
a               a               q               Key.shift       z               w               s               2                
l               l               o               ;               k               .               ,               i                
c               c               x               d               f               s               v               z                
o               o               i               9               l               0               k               p                
n               n               Key.space       m               b               h               j               ,                
Key.space       Key.space       b               n               v               h               g               m                
Key.shift       Key.shift       a               z               q               w               x               s                
H               h               y               j               g               u               t               n                
e               e               d               s               3               w               4               r                
a               a               w               q               z               s               2               Key.shift        
v               v               b               g               c               f               Key.space       h                
y               y               6               h               t               u               7               g                
Key.space       Key.space       n               b               m               h               v               j                
-               -               =               0               p               ;               '               9                
-               -               =               0               p               ;               9               '                
Key.space       Key.space       b               n               v               h               g               m                
Key.backspace   Key.backspace   =               -               Key.enter       '               p               0                
a               a               w               q               z               s               Key.shift       2                
Key.space       Key.space       b               n               v               h               g               m                
t               t               g               f               r               y               5               h                
o               o               i               k               9               l               8               0                
w               w               s               a               e               2               q               3                
e               w               e               s               d               3               2               a                
r               r               f               4               5               t               d               e                
i               k               i               o               l               j               u               m                
n               n               Key.space       b               h               m               g               j                
g               g               h               t               b               y               f               v                
,               ,               m               k               .               l               j               i                
Key.space       n               m               Key.space       j               ,               h               b                
t               t               g               y               h               6               5               f                
h               h               g               y               b               n               t               j                
r               r               f               t               g               5               d               4                
e               e               d               s               w               r               x               3                
e               e               d               s               w               3               r               4                
-               -               =               0               p               ;               9               '                
p               p               ;               o               0               '               l               -                
r               r               f               5               t               4               g               d                
o               o               i               9               l               0               k               p                
n               n               h               Key.space       b               j               m               g                
g               g               b               v               f               t               h               r                
e               e               3               d               s               w               4               r                
d               d               s               c               x               e               f               r                
Key.space       Key.shift_r     Key.enter       /               '               .               ;               Key.backspace    
v               v               b               c               f               g               Key.space       h                
e               e               s               d               w               3               x               r                
h               h               n               b               g               Key.space       y               j                
i               6               y               7               u               t               h               8                
c               x               c               d               s               z               f               v                
l               l               o               ;               k               .               ,               i                
e               e               3               4               w               d               s               r                
Key.space       Key.space       n               b               m               h               v               j                
t               t               g               y               5               6               r               f                
h               g               b               h               t               v               f               y                
a               a               w               q               z               s               Key.shift       2                
t               t               g               y               h               f               5               r                
Key.space       ,               m               Key.space       n               .               k               j                
i               i               k               u               j               o               8               l                
s               d               s               e               x               w               c               r                
Key.space       d               e               s               r               f               c               x                
t               t               y               g               6               5               h               r                
h               h               g               b               n               y               j               t                
e               e               d               s               r               w               3               4                
Key.space       x               z               c               s               d               e               w                
m               m               n               Key.space       ,               j               k               h                
o               o               l               k               i               ;               p               9                
s               s               d               e               x               w               z               c                
y               y               6               u               h               7               t               j                
=               =               -               Key.backspace   p               '               0               Key.enter        
Key.backspace   Key.backspace   =               -               Key.enter       '               p               0                
Key.backspace   Key.backspace   =               -               Key.enter       '               p               0                
t               t               g               y               5               r               6               f                
Key.space       Key.space       b               n               h               v               g               m                
p               p               0               ;               o               -               9               l                
o               l               o               ;               k               i               p               .                
w               e               w               s               3               d               2               4                
e               e               3               w               s               d               4               r                
